Date,CO2_Concentration,State
2015-12-31,410.511592037932,CA
2016-01-31,410.6091066068773,CA
2016-02-29,409.60578474021173,CA
2016-03-31,409.98214884268907,CA
2016-04-30,412.756546818508,CA
2016-05-31,412.2621210818046,CA
2016-06-30,408.1172626055381,CA
2016-07-31,402.81213937102405,CA
2016-08-31,400.61113864941666,CA
2016-09-30,403.8585535032461,CA
2016-10-31,409.01276369048446,CA
2016-11-30,412.41301813003537,CA
2016-12-31,412.95584156913554,CA
2017-01-31,413.05393675491126,CA
2017-02-28,412.0446409546229,CA
2017-03-31,412.42324598719546,CA
2017-04-30,415.2141631578028,CA
2017-05-31,414.71679353376805,CA
2017-06-30,410.547255928863,CA
2017-07-31,405.2105451698297,CA
2017-08-31,402.99643934939854,CA
2017-09-30,406.26318981369076,CA
2017-10-31,411.4480889658164,CA
2017-11-30,414.86858904637,CA
2017-12-31,415.4146445402094,CA
2018-01-31,415.513323799898,CA
2018-02-28,414.4980184962617,CA
2018-03-31,414.878877801774,CA
2018-04-30,417.6864125250113,CA
2018-05-31,417.1860814852846,CA
2018-06-30,412.9917178083909,CA
2018-07-31,407.6232314478303,CA
2018-08-31,405.3959424987894,CA
2018-09-30,408.68214370076055,CA
2018-10-31,413.89791454461846,CA
2018-11-30,417.3387808118536,CA
2018-12-31,417.8880876045862,CA
1968-01-31,323.66,CO
1968-02-29,325.07,CO
1968-03-31,326.05,CO
1968-04-30,326.56,CO
1968-05-31,326.4,CO
1968-06-30,324.06,CO
1968-07-31,320.17,CO
1968-08-31,318.2,CO
1968-09-30,318.83,CO
1968-10-31,321.02,CO
1968-11-30,323.17,CO
1968-12-31,324.08,CO
1969-01-31,324.58,CO
1969-02-28,325.55,CO
1969-03-31,327.05,CO
1969-04-30,327.93,CO
1969-05-31,327.2,CO
1969-06-30,325.14,CO
1969-07-31,321.29,CO
1969-08-31,318.53,CO
1969-09-30,319.66,CO
1969-10-31,322.34,CO
1969-11-30,323.83,CO
1969-12-31,325.36,CO
1970-01-31,326.61,CO
1970-02-28,327.35,CO
1970-03-31,329.18,CO
1970-04-30,330.54,CO
1970-05-31,329.26,CO
1970-06-30,325.85,CO
1970-07-31,322.01,CO
1970-08-31,319.52,CO
1970-09-30,320.42,CO
1970-10-31,324.02,CO
1970-11-30,326.06,CO
1970-12-31,326.37,CO
1971-01-31,327.39,CO
1971-02-28,328.83,CO
1971-03-31,329.7,CO
1971-04-30,330.18,CO
1971-05-31,329.2,CO
1971-06-30,324.82,CO
1971-07-31,320.89,CO
1971-08-31,319.76,CO
1971-09-30,320.26,CO
1971-10-31,322.89,CO
1971-11-30,325.69,CO
1971-12-31,326.3,CO
1972-01-31,327.36,CO
1972-02-29,328.77,CO
1972-03-31,329.3,CO
1972-04-30,330.32,CO
1972-05-31,329.0,CO
1972-06-30,323.97,CO
1972-07-31,320.72,CO
1972-08-31,320.36,CO
1972-09-30,321.94,CO
1972-10-31,325.53,CO
1972-11-30,328.67,CO
1972-12-31,329.79,CO
1973-01-31,330.75,CO
1973-02-28,331.85,CO
1973-03-31,332.52,CO
1973-04-30,333.2,CO
1973-05-31,333.57,CO
1973-06-30,331.46,CO
1973-07-31,327.3,CO
1973-08-31,325.43,CO
1973-09-30,326.46,CO
1973-10-31,328.33,CO
1973-11-30,330.6,CO
1973-12-31,331.82,CO
1974-01-31,332.52,CO
1974-02-28,333.67,CO
1974-03-31,335.05,CO
1974-04-30,335.99,CO
1974-05-31,334.83,CO
1974-06-30,332.3,CO
1976-01-31,332.85,CO
1976-02-29,334.18,CO
1976-03-31,334.64,CO
1976-04-30,335.06,CO
1976-05-31,334.63,CO
1976-06-30,332.27,CO
1976-07-31,330.18,CO
1976-08-31,328.1,CO
1976-09-30,327.81,CO
1976-10-31,330.01,CO
1976-11-30,332.1,CO
1976-12-31,333.56,CO
1977-01-31,334.68,CO
1977-02-28,335.64,CO
1977-03-31,336.51,CO
1977-04-30,337.27,CO
1977-05-31,337.21,CO
1977-06-30,334.93,CO
1977-07-31,332.7,CO
1977-08-31,331.52,CO
1977-09-30,331.17,CO
1977-10-31,332.48,CO
1977-11-30,334.95,CO
1977-12-31,336.51,CO
1978-01-31,337.36,CO
1978-02-28,338.12,CO
1978-03-31,338.45,CO
1978-04-30,338.51,CO
1978-05-31,338.68,CO
1978-06-30,337.44,CO
1978-07-31,334.34,CO
1978-08-31,331.06,CO
1978-09-30,330.8,CO
1978-10-31,333.41,CO
1978-11-30,335.14,CO
1978-12-31,336.63,CO
1979-01-31,338.09,CO
1979-02-28,338.86,CO
1979-03-31,339.92,CO
1979-04-30,340.5,CO
1979-05-31,340.45,CO
1979-06-30,338.13,CO
1979-07-31,334.43,CO
1979-08-31,332.61,CO
1979-09-30,332.52,CO
1979-10-31,334.05,CO
1979-11-30,335.87,CO
1979-12-31,336.67,CO
1980-01-31,338.29,CO
1980-02-29,339.92,CO
1980-03-31,340.66,CO
1980-04-30,340.98,CO
1980-05-31,338.79,CO
1980-06-30,335.47,CO
1980-07-31,333.47,CO
1980-08-31,333.34,CO
1980-09-30,334.17,CO
1980-10-31,335.77,CO
1980-11-30,337.83,CO
1980-12-31,339.58,CO
1981-01-31,341.22,CO
1981-02-28,342.92,CO
1981-03-31,343.56,CO
1981-04-30,343.16,CO
1981-05-31,341.99,CO
1981-06-30,339.62,CO
1981-07-31,337.09,CO
1981-08-31,335.54,CO
1981-09-30,335.57,CO
1981-10-31,338.12,CO
1981-11-30,340.88,CO
1981-12-31,341.96,CO
1982-01-31,342.42,CO
1982-02-28,343.66,CO
1982-03-31,344.94,CO
1982-04-30,345.33,CO
1982-05-31,344.07,CO
1982-06-30,340.52,CO
1982-07-31,336.67,CO
1982-08-31,334.97,CO
1982-09-30,336.89,CO
1982-10-31,339.7,CO
1982-11-30,340.89,CO
1982-12-31,341.7,CO
1983-01-31,343.52,CO
1983-02-28,344.83,CO
1983-03-31,345.45,CO
1983-04-30,346.31,CO
